track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,mode,speechiness,tempo,valence
ts2aehASKt9HPbw6RMDL22,18,0.817,0.558,350947,0.612,0,0.934,Major,0.928,87.815,0.475
l3T4lhDCAusqy5hOV6VdQE,40,0.381,0.395,32773,0.993,0,0.931,Major,0.288,119.991,0.308
nzLJSZ655q00zNb2GbzHWq,51,0.234,0.5,254200,0.842,1.27e-4,0.194,Major,0.0434,89.108,0.719
fT05zdvvW1I93L1a1nOwdd,16,0.882,0.426,104760,0.887,0,0.941,Major,0.827,88.598,0.582
qgezSCXfwbx7Z528o9eh3f,42,7.73e-5,0.422,287267,0.879,0.0484,0.329,Major,0.101,180.05,0.196
TCoWHBI1mOfKHXLNbAgWkC,65,0.405,0.709,203547,0.767,1.72e-4,0.0592,Major,0.0283,115.64,0.557
dWNRoM24Gc0v49iLX8uf4u,27,0.984,0.383,242000,0.0267,0.946,0.0864,Major,0.0372,139.837,0.0981
l8JN3zFye8OsB3exybaKMY,12,0.859,0.464,102703,0.958,0,0.863,Major,0.701,123.441,0.456
ekN0efcUXxClcbjneKJRmL,31,0.697,0.69,105000,0.916,0,0.835,Major,0.916,124.716,0.363
6fxq8yw1HI52XaSzjBFZ8d,23,0.776,0.556,603000,0.815,0,0.789,Minor,0.89,107.1,0.304
I5HxjhvLHLUAd7NYTiggAL,67,4.93e-5,0.328,233987,0.939,0.0065,0.337,Minor,0.0423,185.971,0.329
tuS9x0OJAGeGaCcQhLzkNh,22,0.724,0.625,125560,0.692,0,0.635,Major,0.947,90.887,0.315
tBmzr4j2NqO8HgBUx7Jn0B,55,0.808,0.616,253293,0.217,1.09e-4,0.122,Major,0.0335,130.613,0.141
LPOhO5k0FkcHkAVasN9OVD,8,0.936,0.271,160653,0.162,0.895,0.0693,Major,0.0304,92.256,0.683
l0MAKOW4TZgpGc2JIkrpmO,23,0.498,0.483,169213,0.424,0,0.1,Major,0.0292,114.717,0.256
AFREZSye9jtkSj2lvH6jKU,42,0.99,0.206,379053,0.058,5.73e-4,0.09,Major,0.0441,176.377,0.0479
SaG9qyyjLtPAiefwUDdoTX,34,0.146,0.432,338640,0.81,0.0208,0.0878,Minor,0.0278,152.159,0.192
TQ1CgKpPx6mgaaBj0HfYbi,27,0.888,0.707,81000,0.341,0,0.212,Major,0.935,80.542,0.643
NEn8ImjyhBNCYdankrAwGq,21,0.983,0.41,309640,0.123,0.00615,0.0664,Major,0.0369,99.347,0.519
WFuP0No3KVVC2NazLxajB3,0,0.872,0.416,47600,0.0626,0,0.143,Major,0.0579,136.936,0.198
0GfBfeOekTn2UBdMd8i5hV,22,0.808,0.464,202480,0.809,1.09e-4,0.881,Minor,0.841,67.984,0.0559
bgWFc1u2xQ3mSgzRZ8cUxc,58,0.052,0.528,219213,0.856,0,0.0988,Major,0.0351,87.019,0.572
Gc8Qkl79slTEJqwSmvu9YY,65,0.00428,0.568,195173,0.961,0,0.138,Major,0.065,148.126,0.924
DUvdC5CSQ1DvVmwg5CdV65,14,0.716,0.634,126667,0.709,1.43e-6,0.957,Major,0.264,179.686,0.793
zb0TnDM59FVKh1EBd5oINv,18,0.95,0.303,145159,0.257,2.87e-5,0.106,Minor,0.0455,87.899,0.477
