circuit,gender,year,attacks,kills,errors,aces,serve_errors,blocks,digs,win
AVP,W,2004,68,38,9,3,3,3,19,win
AVP,W,2004,56,29,7,7,1,1,21,win
AVP,W,2004,48,23,9,2,3,4,23,win
AVP,W,2004,51,25,6,3,5,4,21,win
AVP,W,2004,50,21,4,0,1,8,21,win
AVP,W,2004,41,28,6,3,2,3,12,win
AVP,W,2004,45,32,2,0,1,4,13,win
AVP,W,2004,47,30,2,2,1,3,18,win
AVP,W,2004,32,23,1,0,2,3,10,win
AVP,W,2004,60,30,6,4,3,4,18,win
AVP,W,2004,52,32,8,2,1,2,18,win
AVP,W,2004,53,19,9,2,2,3,23,win
AVP,W,2004,47,27,3,2,0,3,23,win
AVP,W,2004,87,41,7,1,6,1,42,win
AVP,W,2004,67,36,9,1,4,3,29,win
AVP,W,2004,42,23,5,4,3,3,8,win
AVP,W,2004,50,28,11,2,6,2,17,win
AVP,W,2004,38,27,3,0,3,1,8,win
AVP,W,2004,41,31,1,1,4,2,14,win
AVP,W,2004,65,34,7,2,3,4,18,win
AVP,W,2004,42,27,6,2,3,3,19,win
AVP,W,2004,72,40,6,2,4,1,30,win
AVP,W,2004,53,29,9,4,1,1,18,win
AVP,W,2004,44,34,3,1,2,0,10,win
AVP,W,2004,58,34,10,3,0,3,20,win
AVP,W,2004,58,29,11,3,3,2,14,win
AVP,W,2004,74,37,7,2,3,2,31,win
AVP,W,2004,30,22,3,2,1,1,13,win
AVP,W,2004,53,31,7,2,1,3,13,win
AVP,W,2004,71,36,5,1,2,1,28,win
AVP,W,2004,52,24,5,1,4,7,14,win
AVP,M,2004,34,30,3,0,2,4,22,win
AVP,M,2004,47,25,5,0,4,2,17,win
AVP,M,2004,49,25,12,2,3,3,10,win
AVP,M,2004,41,24,7,2,3,4,29,win
AVP,M,2004,70,35,3,0,0,3,34,win
AVP,M,2004,52,34,18,4,3,5,0,win
AVP,M,2004,33,26,3,1,6,2,21,win
AVP,M,2004,34,23,5,2,4,6,10,win
AVP,M,2004,54,35,19,1,3,3,1,win
AVP,M,2004,62,39,4,1,8,7,19,win
AVP,M,2004,49,29,7,0,3,3,23,win
AVP,M,2004,29,14,10,4,2,1,6,win
AVP,M,2004,55,33,3,1,6,6,19,win
AVP,M,2004,43,24,8,2,1,5,11,win
AVP,M,2004,26,26,0,0,1,5,22,win
AVP,M,2004,40,26,4,1,3,7,20,win
AVP,M,2004,53,30,2,4,7,6,11,win
AVP,M,2004,54,29,1,2,4,2,18,win
AVP,M,2004,37,19,3,4,6,2,11,win
AVP,M,2004,58,36,5,7,7,4,5,win
AVP,M,2004,49,25,10,2,3,5,18,win
AVP,M,2004,37,24,1,0,1,5,11,win
AVP,M,2004,47,31,4,3,2,11,19,win
AVP,M,2004,31,19,3,0,1,3,8,win
AVP,M,2004,43,26,3,0,6,3,11,win
AVP,M,2004,40,21,5,2,1,7,14,win
AVP,M,2004,44,22,3,0,4,6,5,win
AVP,M,2004,43,26,5,2,3,4,15,win
AVP,M,2004,57,37,7,4,3,2,25,win
AVP,M,2004,42,33,3,0,3,2,14,win
AVP,M,2004,63,38,9,1,1,4,14,win
AVP,M,2004,37,26,3,0,4,6,14,win
AVP,M,2004,63,38,17,9,12,2,11,win
AVP,M,2004,60,34,5,0,5,1,20,win
AVP,M,2004,35,15,4,0,1,2,14,win
AVP,M,2004,25,17,3,5,0,3,5,win
AVP,M,2004,43,26,3,1,1,10,18,win
AVP,M,2004,46,26,3,2,3,1,14,win
AVP,M,2004,59,32,1,1,4,4,5,win
AVP,M,2004,34,29,4,3,4,2,11,win
AVP,M,2004,65,29,11,3,7,4,23,win
AVP,M,2004,69,38,12,2,6,4,22,win
AVP,M,2004,83,35,8,1,3,5,23,win
AVP,M,2004,35,23,7,3,1,3,5,win
AVP,M,2004,70,30,9,4,7,4,14,win
AVP,M,2004,67,31,9,4,2,3,24,win
AVP,M,2004,50,16,10,2,5,4,8,win
AVP,M,2004,66,27,4,1,2,6,19,win
AVP,M,2004,65,34,4,5,8,2,12,win
AVP,M,2004,64,19,4,0,1,3,8,win
AVP,M,2004,66,29,12,0,4,3,18,win
AVP,M,2004,74,29,9,0,0,1,3,win
AVP,M,2004,38,29,2,1,10,4,7,win
AVP,M,2004,63,40,8,2,3,6,24,win
AVP,M,2004,61,30,8,4,11,6,18,win
